
S&P 500 INDEX,Last: 6824.6602,Change:  41.8502
Date: 10 avril 2026 à 04:32 UTC−4,Bid: 6773.48,Ask: 6860.2598,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Thu Jun 18 2026,SPX260618C02400000,4284.54,0,4418.4,4429.9,0,0.8476,0.9994,0,3,2400.00,SPX260618P02400000,0.78,0,0.4,0.75,0,0.8137,-0.001,0,2770
Thu Jun 18 2026,SPXW260618C02400000,4523.62,0,4418.4,4429.9,0,0.8717,0.9993,0,1,2400.00,SPXW260618P02400000,1.65,0,0.5,0.8,0,0.8207,-0.001,0,221
Thu Jun 18 2026,SPX260618C02500000,4176.92,0,4319.2,4330.7,0,0.8225,0.9992,0,0,2500.00,SPX260618P02500000,0.77,-0.205,0.5,0.85,14,0.7943,-0.0011,0,17729
Thu Jun 18 2026,SPX260618C02600000,3990.2,0,4220.4,4231.6,0,0.7904,0.9991,0,32,2600.00,SPX260618P02600000,1.2,0,0.65,1,0,0.7787,-0.0013,0,2450
Thu Jun 18 2026,SPXW260618C02600000,0,0,4220.4,4231.6,0,0.8119,0.999,0,0,2600.00,SPXW260618P02600000,1.15,0,0.7,1,0,0.7794,-0.0013,0,135
Thu Jun 18 2026,SPX260618C02700000,0,0,4121.2,4132.7,0,0.7633,0.9989,0,1,2700.00,SPX260618P02700000,1.2,0,0.75,1.1,0,0.7577,-0.0014,0,3392
Thu Jun 18 2026,SPX260618C02800000,0,0,4022.1,4033.6,0,0.7437,0.9987,0,0,2800.00,SPX260618P02800000,1.15,-0.35,1,1.25,2,0.7433,-0.0016,0,3949
Thu Jun 18 2026,SPXW260618C02800000,0,0,4022.1,4033.6,0,0.7617,0.9987,0,0,2800.00,SPXW260618P02800000,2.85,0,0.95,1.25,0,0.7403,-0.0016,0,482
Thu Jun 18 2026,SPX260618C02900000,3442.65,0,3923.1,3934.3,0,0.7292,0.9985,0,1,2900.00,SPX260618P02900000,1.63,0,1,1.4,0,0.7201,-0.0019,0,2525
Thu Jun 18 2026,SPX260618C03000000,3829.9,47.6001,3823.8,3835.3,35,0.7178,0.9982,0,5203,3000.00,SPX260618P03000000,1.5,-0.45,1.2,1.6,38,0.704,-0.0021,0,13570
Thu Jun 18 2026,SPXW260618C03000000,0,0,3823.8,3835.3,0,0.7302,0.9982,0,0,3000.00,SPXW260618P03000000,1.6,-0.375,1.3,1.6,32,0.7051,-0.0021,0,729
Thu Jun 18 2026,SPX260618C03100000,3508.87,0,3724.9,3736.4,0,0.688,0.9979,0,5,3100.00,SPX260618P03100000,1.9,-0.275,1.4,1.8,1,0.6869,-0.0024,0,2732
